,City,Country,Date,Cloudiness,Humidity,Wind Speed,Max Temp,Lat,Lng
0,Ust'-Omchug,RU,1619315695,99,68,8.97,15.57,61.15,149.6333
1,Atuona,PF,1619315176,62,73,16.08,80.8,-9.8,-139.0333
2,Port Elizabeth,ZA,1619315199,90,100,6.91,59.0,-33.918,25.5701
3,Albany,US,1619315106,100,37,1.92,55.0,42.6001,-73.9662
4,Ushuaia,AR,1619315380,20,50,2.3,50.0,-54.8,-68.3
5,Mataura,NZ,1619315351,38,82,8.99,45.0,-46.1927,168.8643
6,Rikitea,PF,1619315382,100,75,12.97,78.71,-23.1203,-134.9692
7,Chokurdakh,RU,1619315399,1,80,7.76,13.33,70.6333,147.9167
8,Qaanaaq,GL,1619315697,91,68,8.08,23.56,77.484,-69.3632
9,Ambilobe,MG,1619315464,88,91,3.02,71.31,-13.2,49.05
10,Chui,UY,1619315263,97,93,9.86,63.5,-33.6971,-53.4616
11,Jamestown,US,1619315049,90,47,9.22,53.6,42.097,-79.2353
12,Dikson,RU,1619315081,68,95,7.29,7.39,73.5069,80.5464
13,Mendi,PG,1619315698,93,83,1.32,63.12,-6.1761,143.6513
14,Vogar,IS,1619315699,90,100,23.02,44.6,63.9832,-22.3874
15,Bengkulu,ID,1619315507,67,71,2.44,81.46,-3.8004,102.2655
16,Provideniya,RU,1619315458,100,72,1.5,40.03,64.3833,-173.3
17,Beloha,MG,1619315254,0,77,5.75,68.09,-25.1667,45.05
18,Kapaa,US,1619315107,75,69,14.97,78.8,22.0752,-159.319
19,Inírida,CO,1619315529,100,91,1.74,75.6,3.8653,-67.9239
20,Walvis Bay,NA,1619315502,98,100,3.44,60.01,-22.9575,14.5053
21,Hithadhoo,MV,1619315385,5,67,5.75,83.05,-0.6,73.0833
22,Mar del Plata,AR,1619315701,40,88,3.44,57.0,-38.0023,-57.5575
23,Nikolskoye,RU,1619315357,20,86,6.71,36.0,59.7035,30.7861
24,Sept-Îles,CA,1619315515,20,81,10.36,42.01,50.2001,-66.3821
25,Nanortalik,GL,1619315129,98,76,13.49,40.05,60.1432,-45.2371
26,Ribeira Grande,PT,1619315431,75,74,18.75,59.45,38.5167,-28.7
27,New Norfolk,AU,1619315385,94,76,5.01,62.01,-42.7826,147.0587
28,Kavieng,PG,1619315114,15,69,9.8,85.32,-2.5744,150.7967
29,Kéfalos,GR,1619315702,40,77,14.97,60.8,36.7453,26.9589
30,Shīeli,KZ,1619315703,10,37,8.93,58.15,44.1667,66.75
31,Vaitape,PF,1619315355,100,71,9.33,79.7,-16.5167,-151.75
32,Makakilo City,US,1619315220,75,47,9.22,82.4,21.3469,-158.0858
33,Hobart,AU,1619315353,75,51,11.5,62.01,-42.8794,147.3294
34,Iqaluit,CA,1619315460,75,86,4.61,32.0,63.7506,-68.5145
35,Khatanga,RU,1619315665,100,91,21.74,29.41,71.9667,102.5
36,Port Alfred,ZA,1619315067,81,81,8.23,64.31,-33.5906,26.891
37,Ilulissat,GL,1619315453,1,46,26.46,46.4,69.2167,-51.1
38,Arrondissement de Pontarlier,FR,1619315704,29,61,1.99,48.99,46.8333,6.25
39,Stuttgart,DE,1619315705,0,65,8.05,44.6,48.7823,9.177
40,Salta,AR,1619315705,90,94,8.05,57.2,-24.7859,-65.4117
41,Mossamedes,AO,1619315151,53,80,1.81,77.29,-15.1961,12.1522
42,Tevaitoa,PF,1619315706,94,73,9.06,79.25,-16.7833,-151.5
43,Niesky,DE,1619315706,72,89,1.23,36.0,51.2924,14.8211
44,Barrow,US,1619315707,1,80,6.91,28.4,71.2906,-156.7887
45,Iwaki,JP,1619315707,100,56,4.0,68.0,37.05,140.8833
46,Saurimo,AO,1619315707,90,93,2.89,63.19,-9.6608,20.3916
47,Grindavik,IS,1619315489,90,100,23.02,42.8,63.8424,-22.4338
48,Pevek,RU,1619315375,100,94,6.44,26.51,69.7008,170.3133
49,Warri,NG,1619315708,95,84,1.23,75.2,5.5167,5.75
50,Faanui,PF,1619315085,100,71,9.31,79.68,-16.4833,-151.75
51,Poum,NC,1619315518,100,78,8.77,78.42,-20.2333,164.0167
52,Bredasdorp,ZA,1619315709,100,93,3.44,48.2,-34.5322,20.0403
53,Upernavik,GL,1619315116,9,82,6.64,23.18,72.7868,-56.1549
54,Tasiilaq,GL,1619315710,75,65,18.41,42.8,65.6145,-37.6368
55,Vaini,TO,1619315352,75,74,4.61,84.2,-21.2,-175.2
56,Neyshabur,IR,1619315711,61,33,3.2,63.61,36.2133,58.7958
57,Busselton,AU,1619315352,1,69,1.12,69.22,-33.65,115.3333
58,Yerbogachën,RU,1619315711,100,81,1.74,38.16,61.2767,108.0108
59,Longyearbyen,SJ,1619315150,75,80,3.33,23.0,78.2186,15.6401
